feature,importance
is_weekend,47.59567092679655
unit_sales_lag_14,29.59878094671463
sales_outlier_flag,22.225237545650927
unit_sales_lag_7,21.878862937707584
unit_sales_lag_1,15.591179361308264
dayofweek,15.58638191827117
unit_sales_roll_std_30,12.888716579190811
is_month_start,6.877600966699861
day,6.688174176793106
unit_sales_roll_std_7,6.412460961570316
is_regional_holiday,5.813273663216115
quarter,5.68413245387509
unit_sales_roll_mean_7,5.648320711805044
month,5.333499217666214
oil_lag_1,4.860208576944764
is_national_holiday,4.735184170908104
oil_lag_7,4.400771076792438
is_holiday,4.397329503021729
week_of_year,4.15165609406307
dcoilwtico,3.7089525874757308
oil_roll_mean_7,3.6132753152939134
unit_sales_roll_mean_14,3.007524518489458
is_local_holiday,2.5801367811636786
unit_sales_roll_std_14,2.5006123920674295
unit_sales_roll_mean_30,2.4919577110788835
unit_sales_lag_30,2.223115164282918
holiday_count,1.1600759357813994
is_month_end,0.4101272375989404
year,0.0
